Chatgaya,Bangla
এল্লেত মিছে হতা কেনে হস বদ্দা!,এত মিথ্যা কথা কেমনে বলিস ভাই!
এতো মিছে হথা কেনে হস বদ্দা!,এত মিথ্যা কথা কেমনে বলিস ভাই!
"অঁনোরে ৫০ টিয়া দিলাম, ১০ টিয়া ফেরত দিতু ভুলি গেইয়্যুন","আপনাকে ৫০ টাকা দিয়েছিলাম, ১০ টাকা ফেরত দিতে ভুলে গেছেন"
এক কেজি গাজরুর দাম হত?,এক কেজি গাজরের দাম কত?
"আঁই তোত্তুন চাইয়্যুম, আর তুই রিফাত্তুন চাইস","আমি তোর থেকে দেখব, আর তুই রিফার থেকে দেখিস"
অঁনে এক্কানা হষ্ট গরি এই ফর্ম ইয়েন পুরন গরি হালিয়ের মধ্যে জমা দি দন,আপনি একটু কষ্ট করে এই ফর্মটা পূরণ করে আগামীকালের মধ্যে জমা দিয়ে দিন
অঁনে ইক্কিনি হষ্ট গরি এই ফর্ম ইয়েন পুরন গরি হালিয়ের মধ্যে জমা দি দন,আপনি একটু কষ্ট করে এই ফর্মটা পূরণ করে আগামীকালের মধ্যে জমা দিয়ে দিন
"বিয়াজ্ঞুন সামনুত্তুন সরি থিয়ন, টেরাক আইয়্যির","সবাই সামনে থেকে সরে দাঁড়ান, ট্রাক আসছে"
"বেজ্ঞুন সামনুত্তুন সরি থিয়ন, টেরাক আইয়্যির","সবাই সামনে থেকে সরে দাঁড়ান, ট্রাক আসছে"
রমজান মিয়ত্তুন কিছু টিয়া ফাইর,রমজান মিয়ার কাছে কিছু টাকা পায়
গতবার হর কিনিবের সমত হইলেন এবার দাম হম রাহিবেন,গতবার কাপড় কিনার সময় বলেছিলেন এবার দাম কম রাখবেন
বৌত আশা লই রে গেইলাম কিন্তু হাজগান ন অয়,অনেক আশা নিয়ে গেছিলাম কিন্তু কাজটা হলো না
"আজিয়ে অফিসুত বৌত হাম, এতেল্লে আত্তুন আসতে দেরি অইবু","আজকে অফিসে অনেক কাজ, তাই আমার আসতে দেরি হবে"
"আজিইয়্যে অফিসুত বৌত হাম, এতেল্লে আত্তুন আসতে দেরি অইবু","আজকে অফিসে অনেক কাজ, তাই আমার আসতে দেরি হবে"
"তোরে বৌত মিস গরির, তুই ন থাহিলি কিয়ারে জালাইত ন পারি","তোকে অনেক মিস করছি, তুই না থাকলে কাউকে জ্বালাতে পারি না"
ক্ষেতিত্তুন ফোওয়ানা মরিচ এগুন লই আয়,ক্ষেত থেকে পাকা মরিচ গুলো নিয়ে আয়
"বাইরে বৌত বেশি গরম, এক্কান ছাতি লই যও","বাইরে অনেক বেশি গরম, একটা ছাতা নিয়ে যাও"
"বাদ্দি বৌত বেশি গরম, এক্কান ছাতি লই যও","বাইরে অনেক বেশি গরম, একটা ছাতা নিয়ে যাও"
"বৌত হতক্ষন হতা অইয়্যি, এবার উডি","অনেকক্ষণ কথা হলো, এবার উঠি"
"বৌত হতক্ষন হথা অইয়্যি, এবার উডি","অনেকক্ষণ কথা হলো, এবার উঠি"
"আঁরে স্যার মানা গইজ্জিল, এতেল্লে ইয়েন আঁই গরিত ন ফাইজ্জুম","আমাকে স্যার নিষেধ করেছিলেন, তাই এটা আমি করতে পারব না"
হনে পাইদ্দি দে? এল্লেত গন্ধ কা?,কে পাদ দিয়েছে? এত গন্ধ কেন?
হনে পাইদ্দি দে? এতো গন্ধ কা?,কে পাদ দিয়েছে? এত গন্ধ কেন?
আঁরা আজুইন্নে চা আর নাস্তা হইয়্যুম,আমরা সন্ধ্যায় চা আর নাস্তা খাব
তুঁই মনমরা অই বই থাহিলি কি আত্তুন ভালা লাগে?,তুমি মনমরা হয়ে বসে থাকলে কি আমার ভালো লাগে?
তুঁই মনমরা অই বই থাহিলি কি আত্তুন গম লাগে?,তুমি মনমরা হয়ে বসে থাকলে কি আমার ভালো লাগে?
বাংলাদেশুত উন্নতমানুর বিশ্ববিদ্যালয় বৌত হম,বাংলাদেশে উন্নতমানের বিশ্ববিদ্যালয় খুব কম
অঁনোরে আজিয়ে আত্তুন বৌত ভালা লাইজ্ঞি,আপনাকে আজকে আমার খুব ভালো লাগলো
অঁনোরে আজিয়ে আত্তুন বৌত গম লাইজ্ঞি,আপনাকে আজকে আমার খুব ভালো লাগলো
অঁনোরে আজিইয়্যে আত্তুন বৌত ভালা লাইজ্ঞি,আপনাকে আজকে আমার খুব ভালো লাগলো
"আত্তুন এক্কানা অরান লার, তোঁয়ার লগে পরে হতা হইয়্যুম","আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব"
"আত্তুন ইক্কিনি অরান লার, তোঁয়ার লগে পরে হতা হইয়্যুম","আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব"
"আত্তুন এক্কানা অরান লার, তোঁয়ার ওয়ারে পরে হতা হইয়্যুম","আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব"
"আত্তুন এক্কানা অরান লার, তোঁয়ার ফুয়ারে পরে হতা হইয়্যুম","আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব"
"আত্তুন এক্কানা হয়রান লার, তোঁয়ার লগে পরে হতা হইয়্যুম","আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব"
"আত্তুন এক্কানা অরান লার, তোঁয়ার লগে পরে হথা হইয়্যুম","আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব"
"হাইতু মন ন চাইলিও কিছু হায় ল, নইলি বিছেনুত্তুন উঢ়িত ন পারিবি","খেতে মন না চাইলেও কিছু খেয়ে নে, নাহয় বিছানা থেকে উঠতে পারবি না"
"আব্বু, আঁর লেপটপ ইবে এক্কানা ঠিক গরি দও, হালিয়েত্তুন অনলাইন ক্লাস আছে","বাবা, আমার ল্যাপটপটা একটু ঠিক করিয়ে দাও, কাল থেকে অনলাইন ক্লাস আছে"
"আব্বু, আঁর লেপটপ ইবে ইক্কিনি ঠিক গরি দও, হালিয়েত্তুন অনলাইন ক্লাস আছে","বাবা, আমার ল্যাপটপটা একটু ঠিক করিয়ে দাও, কাল থেকে অনলাইন ক্লাস আছে"
"আঁর আত ব্যথা গরের, আজিয়ে আর ন পারির","আমার হাত ব্যথা করছে, আজকে আর পারছি না"
"আঁর আত ব্যথা গরের, আজিইয়্যে আর ন পারির","আমার হাত ব্যথা করছে, আজকে আর পারছি না"
আঁর হাছে টিয়া ফুইশেত্তুন মান সম্মান বেশি গুরুত্বপুর্ণ,আমার কাছে টাকা পয়সার থেকে মান সম্মান বেশি গুরুত্বপূর্ণ
"বর্ষাহালে শ'রুত আডাচলা গরন বিরক্তিকর, চেরোমিক্কে নালার পানি","বর্ষাকালে শহরে হাঁটাচলা করা বিরক্তিকর, চারদিকে নর্দমার পানি"
"তোর বাফুর মাথা এহন গরম, এতেল্লে এহন ঘরুত ন আইস","তোর আব্বুর মাথা এখন গরম, তাই এখন ঘরে আসিস না"
আসসালামু আলাইকুম ম্যাম,আসসালামু আলাইকুম ম্যাম
"যদি কারোন ন আইয়্যি, তইলি ছাদুত যাই ঘুমাইয়্যুম","যদি কারেন্ট না আসে, তাহলে ছাদে গিয়ে ঘুমাব"
"আঁর হাছে এহন টিয়া নেই, এতেল্লে হনোমিক্কে যাইবের হতা চিন্তে ন গরির","আমার কাছে এখন টাকা নেই, সেজন্য কোথাও যাওয়ার কথা চিন্তা করছি না"
"আঁর হাছে এহন টিয়া নেই, এতেল্লে হনোমিক্কে যাইবের হথা চিন্তে ন গরির","আমার কাছে এখন টাকা নেই, সেজন্য কোথাও যাওয়ার কথা চিন্তা করছি না"
"এনডে যদি তুঁই ন থাহো, তইলি আত্তুন এব্বেরে ভালা ন লাগিবু","ওখানে যদি তুমি না থাক, তাহলে আমার একদম ভালো লাগবে না"
"এনডে যদি তুঁই ন থাহো, তইলি আত্তুন এব্বেরে গম ন লাগিবু","ওখানে যদি তুমি না থাক, তাহলে আমার একদম ভালো লাগবে না"
আঁই দুদিনুর লাই তোর ভাবিরে লই এক্কানা ঘুইত্তাম যাইর,আমি দুদিনের জন্য তোর ভাবিকে নিয়ে একটু ঘুরতে যাচ্ছি
আঁই দুদিনুর লাই তোর ভাবিরে লই ইক্কিনি ঘুইত্তাম যাইর,আমি দুদিনের জন্য তোর ভাবিকে নিয়ে একটু ঘুরতে যাচ্ছি
"আ'ছা মানি, মিছে হইয়্যুম না অঁনোরে!","সত্যি মানে, মিথ্যা বলব নাকি আপনাকে!"
"চট্টগ্রাম বিশ্ববিদ্যালয়ুর ফারুত বৌত আফ আছে, আঁরা যহন এনডে ঘুইত্তো গেইলাম তহন উইন্নিলাম","চট্টগ্রাম বিশ্ববিদ্যালয়ের পাহাড়ে অনেক সাপ আছে, আমরা যখন ওখানে ঘুরতে গিয়েছিলাম তখন শুনেছিলাম"
"আঁই আছুরিত ন জানি, এতেল্লে ফইরুত নামিত ন ফাইজ্জুম","আমি সাঁতার জানি না, সেজন্য পুকুরে নামতে পারব না"
"আঁই খিয়াল গইজ্জি, তুঁই হয়েকদিন ধরি মনমরা অই বই থেইক্কো","আমি খেয়াল করলাম, তুমি কয়েকদিন ধরে মনমরা হয়ে বসে আছো"
এই হর এগুন নতুন নাকি ফুরন?,এই কাপড়গুলো নতুন নাকি পুরাতন?
এই বিলেই ইবে একবার আঁর আম্মুরে হঁঅর দিয়্যিল,এই বিড়ালটা একবার আমার আম্মুকে কামড় দিয়েছিল
বাচি থাহিলি ইনশাআল্লাহ সামনুর বছর বিয়াজ্ঞুন মিলি যাইয়্যুম,বেঁচে থাকলে ইনশাআল্লাহ সামনের বছর সবাই মিলে যাব
বাচি থাহিলি ইনশাআল্লাহ সামনুর বছর বেজ্ঞুন মিলি যাইয়্যুম,বেঁচে থাকলে ইনশাআল্লাহ সামনের বছর সবাই মিলে যাব
তোঁয়ার রেজাল্ট ভালা অইয়্যি দেহি আঁর মনগানও ভালা অই গেইয়্যি,তোমার রেজাল্ট ভালো হয়েছে দেখে আমার মনটাও ভালো হয়ে গেছে
তোঁয়ার রেজাল্ট গম অইয়্যি দেহি আঁর মনগানও ভালা অই গেইয়্যি,তোমার রেজাল্ট ভালো হয়েছে দেখে আমার মনটাও ভালো হয়ে গেছে
তোঁয়ার লগে মামুন উরেও লই যও,তোমার সঙ্গে মামুনকেও নিয়ে যাও
"আকাশুত যে মৌলো অইয়্যি, দিন নাকি রাইত ইয়েনই বুঝা ন যার","আকাশে যে মেঘ হয়েছে, দিন নাকি রাত সেটাই বোঝা যাচ্ছে না"
গরমহালোত ডাবোর পানি হাইলি বৌত শান্তি লাগে,গরমকালে ডাবের পানি খেলে অনেক শান্তি লাগে
"আঁই তোঁয়ারে আটকাই রাইখতাম ন চাই, তোঁয়াত্তুন চলি যাইতু মন চাইলি চলি যাইত পারো","আমি তোমাকে আটকে রাখতে চাই না, তোমার চলে যেতে মন চাইলে চলে যেতে পার"
হালিয়ে রাতিয়ে এল্লেত জোরে টাডাল পইজ্জিল দে ঘুম ভাঙি গেইয়্যিল,কাল রাতে এত জোরে বজ্রপাত হয়েছিল যে ঘুম ভেঙে গিয়েছিল
হালিয়ে রাতিয়ে এতো জোরে টাডাল পইজ্জিল দে ঘুম ভাঙি গেইয়্যিল,কাল রাতে এত জোরে বজ্রপাত হয়েছিল যে ঘুম ভেঙে গিয়েছিল
গরম হমিলি তারপর হাট্টল হাইয়্যুম,গরম কমলে তারপর কাঁঠাল খাব
"এই উনো না, চো না আঁই কি গইজ্জি","এই শুনছো, দেখে যাও আমি কি করেছি"
আ'সতে আ'সতে আঁর পেট ব্যথা অই গেইয়্যি,হাসতে হাসতে আমার পেট ব্যথা হয়ে গেছে
জোয়ারুর পানি ঢুকি আঁর বিয়াক ক্ষেতি নষ্ট গরি দিয়্যি,জোয়ারের পানি ঢুকে আমার সব ক্ষেত নষ্ট করে দিল
"বৌতদিন ধরি ওষুধ হাইর, তাও গম ন লার","অনেকদিন ধরে ওষুধ খাচ্ছি, তাও ভালো লাগছে না"
"বৌতদিন ধরি ওষুধ হাইর, তাও ভালা ন লার","অনেকদিন ধরে ওষুধ খাচ্ছি, তাও ভালো লাগছে না"
"বৌতদিন ধরি ওষুধ হাইর, তাও গম ন লাগের","অনেকদিন ধরে ওষুধ খাচ্ছি, তাও ভালো লাগছে না"
"অঁনোরে বৌতদিন নো দেহি, এতোদিন হনডে আছিলেন?","আপনাকে অনেকদিন দেখিনায়, এতদিন কোথায় ছিলেন?"
"অঁনোরে বৌতদিন নো দেহি, এতোদিন হডে আছিলেন?","আপনাকে অনেকদিন দেখিনায়, এতদিন কোথায় ছিলেন?"
"আর দুদিন পর রমজান, এহনো রমজানুর বাজার গরা নো অয়","আর দুদিন পর রমজান, এখনো রমজানের বাজার করা হয় নাই"
"আর দুদিন পর রমজান, এইজু রমজানুর বাজার গরা নো অয়","আর দুদিন পর রমজান, এখনো রমজানের বাজার করা হয় নাই"
"তোরে বারবার হইলাম দে ছাতি ইয়েন লই বাইর ন অইস, এহন আঁর এল্লেত দামি ছাতিগান ভাঙি গেইয়্যি","তোকে বারবার বলেছি ছাতাটা নিয়ে বের হইস না, এখন আমার এত দামি ছাতাটা ভেঙে গেল"
"তোরে বারবার হইলাম দে ছাতি ইয়েন লই বাইর ন অইস, এহন আঁর এতো দামি ছাতিগান ভাঙি গেইয়্যি","তোকে বারবার বলেছি ছাতাটা নিয়ে বের হইস না, এখন আমার এত দামি ছাতাটা ভেঙে গেল"
আজিয়ে ফজরত আঁই ভাত ন হাইয়্যুম,আজকে সকালে আমি ভাত খাব না
আজিইয়্যে ফজরত আঁই ভাত ন হাইয়্যুম,আজকে সকালে আমি ভাত খাব না
"এক্কানা আ'সো, এত চিন্তে গরি কি অইবু? বিয়াক ঠিক আই যাইবু","একটু হাসো, এত চিন্তা করে কী হবে? সব ঠিক হয়ে যাবে"
"ইক্কিনি আ'সো, এত চিন্তে গরি কি অইবু? বিয়াক ঠিক আই যাইবু","একটু হাসো, এত চিন্তা করে কী হবে? সব ঠিক হয়ে যাবে"
আঁর মেইফুওয়ার স্কুলুর লাই উজ্ঞো ভালা মানুর ব্যাগ দেহাইত ফারিবেন?,আমার মেয়ের স্কুলের জন্য একটা ভালো মানের ব্যাগ দেখাতে পারবেন?
আঁর মেইফুওয়ার স্কুলুর লাই উজ্ঞো গম মানুর ব্যাগ দেহাইত ফারিবেন?,আমার মেয়ের স্কুলের জন্য একটা ভালো মানের ব্যাগ দেখাতে পারবেন?
"আঁর বুক জ্বলের, মনে অয় গ্যাস্ট্রিক বারি গেইয়্যি","আমার বুক জ্বালা করছে, মনে হয় গ্যাস্ট্রিক বেড়ে গেছে"
"বাইক এক্সিডেন্ট গরি এক সপ্তাহ ধরি হাসপাতালুর বেডুত শুই আছি, আঁর হনো বন্ধুই সাইতু ন আইয়্যি","বাইক এক্সিডেন্ট করে এক সপ্তাহ ধরে হাসপাতালের বেডে শুয়ে আছি, আমার কোনো বন্ধুই দেখতে আসল না"
"আজিয়ে যেহেতু দেরি অই গেইয়্যি, এতেল্লে আঁরা হালিয়ে বাইর অইয়্যুম","আজকে যেহেতু দেরি হয়ে গেছে, তাই আমরা আগামীকাল বের হব"
"আজিইয়্যে যেহেতু দেরি অই গেইয়্যি, এতেল্লে আঁরা হালিয়ে বাইর অইয়্যুম","আজকে যেহেতু দেরি হয়ে গেছে, তাই আমরা আগামীকাল বের হব"
"আম্মু, রাস্তা দি আইবের সমত এক্কান ৫০০ টিয়ার নোট তোওয়াই ফাই","মা, রাস্তা দিয়ে আসার সময় একটা ৫০০ টাকার নোট খুঁজে পেয়েছি"
"ক্ষেতির ফসল এগিন পাগি গেইয়্যি, এবার কিছু কৃষক লই আইয়্যো","ক্ষেতের ফসলগুলো পেকে গেছে, এবার কিছু কৃষক নিয়ে এসো"
"আরাদিন অফিস গরি আইলাম, আঁর লাই এক হাপ কফি বানাই লই আইয়্যো","সারাদিন অফিস করে আসলাম, আমার জন্য এক কাপ কফি বানিয়ে নিয়ে এসো"
"ফুরোদিন অফিস গরি আইলাম, আঁর লাই এক হাপ কফি বানাই লই আইয়্যো","সারাদিন অফিস করে আসলাম, আমার জন্য এক কাপ কফি বানিয়ে নিয়ে এসো"
"আঁর দাদার বারি নোয়াহালী, এবার ঈদুত আঁরা এনডে যাইয়্যুম","আমার দাদার বাড়ি নোয়াখালী, এবার ঈদে আমরা সেখানে যাব"
"আসসালামু আলাইকুম স্যার, অঁনে কেন আছন?","আসসালামু আলাইকুম স্যার, আপনি কেমন আছেন?"
বাকি হাম এগিন হালিয়ে চাইয়্যুম,বাকি কাজগুলো আগামীকাল দেখব
বাকি হাজ এগিন হালিয়ে চাইয়্যুম,বাকি কাজগুলো আগামীকাল দেখব
গুরো বাইচ্চে ইবে আঁর গা'আর উদ্দি পেশাব গরি দিইয়্যি,ছোট বাচ্চাটা আমার গায়ের ওপর প্রস্রাব করে দিয়েছে
বাজারোর লিস্ট আগেত্তোন তৈরি ন গরিলি বৌত সময় দরহারি জিনিস কিনতে ভুলি যায়,বাজারের তালিকা আগে থেকে তৈরি না করলে অনেক সময় দরকারি জিনিস কিনতে ভুলে যায়
যাদু গরি আঁর সংসার ইয়েন শেষ গরি দিইয়্যি,যাদু করে আমার সংসারটা শেষ করে দিছে
"আঁর মাথা এহন গরম, তোঁয়ার লগে পরে হতা হইয়্যুম","আমার মাথা এখন গরম, তোমার সাথে পরে কথা বলব"
"আঁর মাথা এহন গরম, তোঁয়ার ওয়ারে পরে হতা হইয়্যুম","আমার মাথা এখন গরম, তোমার সাথে পরে কথা বলব"
"আঁর মাথা এহন গরম, তোঁয়ার ফুয়ারে পরে হতা হইয়্যুম","আমার মাথা এখন গরম, তোমার সাথে পরে কথা বলব"
"আঁর মাথা এহন গরম, তোঁয়ার লগে পরে হথা হইয়্যুম","আমার মাথা এখন গরম, তোমার সাথে পরে কথা বলব"
"একদাম ৫০০ টিয়া রাইক্কুম, ইয়াত্তুন হমাইত ন ফাইজ্জুম","একদাম ৫০০ টাকা রাখব, এর থেকে কমাতে পারব না"
"আফা তারা ইক্কে আইয়্যুন, ভালা হর বিয়াজ্ঞিন ইনদি","আপুরা এইদিকে আসেন, ভালো কাপড় সবগুলো এইদিকে"
"আফা তারা ইক্কে আইয়্যুন, গম হর বিয়াজ্ঞিন ইনদি","আপুরা এইদিকে আসেন, ভালো কাপড় সবগুলো এইদিকে"
তোর বাফুরে ফোন গরি হ হারা চলি আইসতু,তোর বাবাকে ফোন করে বল তাড়াতাড়ি চলে আসতে
আঁরা যেরহম মনে গইজ্জিলাম ইয়েন ইয়াত্তুনও বৌত বেশি দুরে,আমরা যতটা মনে করেছিলাম এটা তার থেকেও অনেক বেশি দূরে
আঁই ঘুম যাইবের আগে ব্রাশ দি দাত মাজি,আমি ঘুমানোর আগে ব্রাশ দিয়ে দাঁত মাজি
উইন্নিলাম তুঁই নাকি ওমরাহ গইত্তো সৌদি আরবুত যার?,শুনলাম তুমি নাকি ওমরাহ করতে সৌদি আরবে যাচ্ছ?
আজিয়ে অ্যাসাইনমেন্ট জমা দিবের শেষ দিন,আজ অ্যাসাইনমেন্ট জমা দেওয়ার শেষ দিন
"আঁই নৌকোত চরিত ন ফাইজ্জুম, আত্তুন ডর লাগে","আমি নৌকায় চড়তে পারব না, আমার ভয় লাগে"
"কি লেবুর শরবৌত হইয়্যুম, বাজারুত লেবুর যে দাম!","কি লেবুর শরবৌত খাবো, বাজারে লেবুর যে দাম!"
এত্ত বরো উডোনোত ঝারু দন বৌত হষ্ট,এত বড় উঠানে ঝাড়ু দেওয়া অনেক কষ্টকর
এন গরি আস্তে আস্তে হাম গরিলি ফুরোদিন চলি যাইবু,এভাবে আস্তে আস্তে কাজ করলে সারাদিন চলে যাবে
এন গরি আস্তে আস্তে হাজ গরিলি ফুরোদিন চলি যাইবু,এভাবে আস্তে আস্তে কাজ করলে সারাদিন চলে যাবে
এন গরি আস্তে আস্তে হাম গরিলি আরাদিন চলি যাইবু,এভাবে আস্তে আস্তে কাজ করলে সারাদিন চলে যাবে
ফোওয়াত্তে উডি ওজু গরি ফজরুর নামাজ পরি রাস্তাত এক্কানা আডিলি মন এব্বেরে ভালা অই যায়,ভোরে উঠে অজু করে ফজরের নামাজ পড়ে রাস্তায় একটু হাঁটলে মন একদম ভালো হয়ে যায়
ফোওয়াত্তে উডি ওজু গরি ফজরুর নামাজ পরি রাস্তাত এক্কানা আডিলি মন এব্বেরে গম অই যায়,ভোরে উঠে অজু করে ফজরের নামাজ পড়ে রাস্তায় একটু হাঁটলে মন একদম ভালো হয়ে যায়
ফোওয়াত্তে উডি ওজু গরি ফজরুর নামাজ পরি রাস্তাত ইক্কিনি আডিলি মন এব্বেরে ভালা অই যায়,ভোরে উঠে অজু করে ফজরের নামাজ পড়ে রাস্তায় একটু হাঁটলে মন একদম ভালো হয়ে যায়
"আঁরার বারিত্তুন স্কুলুত যাইবের রাস্তা ইবে মেডির, যার হারনে বর্ষাহালে স্কুলুত যাইতে বৌত হষ্ট অয়","আমাদের বাড়ি থেকে স্কুলে যাওয়ার রাস্তাটা মাটির, যার কারণে বর্ষাকালে স্কুলে যেতে অনেক কষ্ট হয়"
আঁই মনে গইজ্জিলাম আজিয়ে গারি ন চলিবু,আমি মনে করেছিলাম আজকে গাড়ি চলবে না
আঁই মনে গইজ্জিলাম আজিইয়্যে গারি ন চলিবু,আমি মনে করেছিলাম আজকে গাড়ি চলবে না
আতুত্তুন ফরি হাপ ইবে ভাঙি গেইয়্যি,হাত থেকে পড়ে কাপটা ভেঙে গেল
"অঁনে এক্কানা শান্ত অন, বাস ১০ মিনিটুর মধ্যে ছারি দিবু","আপনি একটু শান্ত হন, বাস ১০ মিনিটের মধ্যে ছেড়ে দেবে"
"অঁনে ইক্কিনি শান্ত অন, বাস ১০ মিনিটুর মধ্যে ছারি দিবু","আপনি একটু শান্ত হন, বাস ১০ মিনিটের মধ্যে ছেড়ে দেবে"
"গুস্ত বেশি ন লইস, উদ্দিত্তুন এক্কানা গরি ল","মাংস বেশি নিস না, ওপর থেকে অল্প নে"
আরাদিন অফিসুত হাজ গরি বারি ফিরিলি শরীল আর চইলতো ন চায়,সারাদিন অফিসে কাজ করে বাড়ি ফিরলে শরীর আর চলতে চায় না
আরাদিন অফিসুত হাম গরি বারি ফিরিলি শরীল আর চইলতো ন চায়,সারাদিন অফিসে কাজ করে বাড়ি ফিরলে শরীর আর চলতে চায় না
ফুরোদিন অফিসুত হাজ গরি বারি ফিরিলি শরীল আর চইলতো ন চায়,সারাদিন অফিসে কাজ করে বাড়ি ফিরলে শরীর আর চলতে চায় না
আরাদিন অফিসুত হাজ গরি বারি ফিরিলি শরীর আর চইলতো ন চায়,সারাদিন অফিসে কাজ করে বাড়ি ফিরলে শরীর আর চলতে চায় না
"ইয়েন গরন একদম ঠিক ন অইবু, তুঁই আরেকবার চিন্তে গরি সো","এটা করা একদম ঠিক হবে না, তুমি আরেকবার চিন্তা করে দেখো"
"টিয়া বেশি ন লাগিবু, আঁরা বেশি দুরে ন যাইয়্যুম","টাকা বেশি লাগবেনা, আমরা বেশি দুরে যাব না"
মাছ কিনিলি অবশ্যই আইবের সমত হাডি লই আইবেন,মাছ কিনলে অবশ্যই আসার সময় কেটে নিয়ে আসবেন
আম্মু হদ্দে তুরে আর আন্টি রে একদিন বেরাইতো আইবের লাই,আম্মু বলছে তোকে আর আন্টিকে একদিন বেড়াতে আসতে
অঁনে তো আত্তুন ও অঁনোর মেইফুওয়ারেই বেশি দেইত ফারন,আপনি তো আমার থেকেও আপনার মেয়েকেই বেশি দেখতে পারেন
তুই আঁর চঅর অইয়্যিরে আঁর মুখুর উদ্দি হতা হস!,তুই আমার চাকর হয়ে আমার মুখের ওপর কথা বলিস!
তুই আঁর চঅর অইয়্যিরে আঁর মুখুর উদ্দি হথা হস!,তুই আমার চাকর হয়ে আমার মুখের ওপর কথা বলিস!
সামনুর সপ্তাত কক্সবাজার বেরাইতাম যাইয়্যুম,সামনের সপ্তাহে কক্সবাজার বেড়াতে যাব
পরিচিত হইলি অঁনেরা আরো দাম বেশি রাহন,পরিচিত বললে আপনারা আরো দাম বেশি রাখেন
"আঁর লাই যে পিডেগিন বানাইয়্যুন, এগিন ফ্রিজুত রাহি দন","আমার জন্য যে পিঠাগুলো বানিয়েছেন, সেগুলো ফ্রিজে রেখে দেন"
আঁর পরিবার আঁর মিক্কে চাই থেইক্কি,আমার পরিবার আমার দিকে তাকিয়ে আছে
ল্যাপটপুর লগে গ্যারান্টি কার্ড ইয়েনও দি দন,ল্যাপটপের সাথে গ্যারান্টি কার্ডটাও দিয়ে দেন
ল্যাপটপুর ওয়ারে গ্যারান্টি কার্ড ইয়েনও দি দন,ল্যাপটপের সাথে গ্যারান্টি কার্ডটাও দিয়ে দেন
ল্যাপটপুর ফুয়ারে গ্যারান্টি কার্ড ইয়েনও দি দন,ল্যাপটপের সাথে গ্যারান্টি কার্ডটাও দিয়ে দেন
"কি হর দিয়্যুন বদ্দা, একবার ধু'অনুর পর রঙ উডি গেইয়্যি","কি কাপড় দিছেন ভাই, একবার ধোয়ার পর রঙ উঠে গেছে"
"আঁরার বাসাত বরো টিভি আছে, বিয়াজ্ঞুন একলগে খেলা চাইয়্যুম","আমাদের বাসায় একটা বড় টিভি আছে, সবাই একসঙ্গে খেলা দেখব"
"আঁরার বাসাত বরো টিভি আছে, বেজ্ঞুন একলগে খেলা চাইয়্যুম","আমাদের বাসায় একটা বড় টিভি আছে, সবাই একসঙ্গে খেলা দেখব"
"আঁরার বাসাত বরো টিভি আছে, বিয়াজ্ঞুন এক্কোত্তরে খেলা চাইয়্যুম","আমাদের বাসায় একটা বড় টিভি আছে, সবাই একসঙ্গে খেলা দেখব"
"আঁরার বাসাত বরো টিভি আছে, বিয়াজ্ঞুন এক্কোওয়ারে খেলা চাইয়্যুম","আমাদের বাসায় একটা বড় টিভি আছে, সবাই একসঙ্গে খেলা দেখব"
"আঁরার বাসাত বরো টিভি আছে, বিয়াজ্ঞুন এক্কোফুয়ারে খেলা চাইয়্যুম","আমাদের বাসায় একটা বড় টিভি আছে, সবাই একসঙ্গে খেলা দেখব"
"বল আস্তে মারিস, আঁর টেং উত বৌত ব্যথা","বল আস্তে মারিস, আমার পায়ে অনেক ব্যথা"
আজিয়ে রিয়াল মাদ্রিদুর খেলা আছে রাতিয়ে,আজ রিয়াল মাদ্রিদের খেলা আছে রাতে
গুরো থাকতে আল্লাহর হাছে দোয়া গইত্তাম যেন বন্যা আই স্কুল ডুফোই দেই,"ছোটবেলায় আল্লাহর কাছে দোয়া করতাম, যেন বন্যা এসে স্কুল ডুবিয়ে দেয়"
"আত্তুন নাস্তা গরিবের সময় নেই, তুঁই নাস্তা এগিন উজ্ঞো টিফিন গরি দি দও","আমার নাস্তা করার সময় নেই, তুমি নাস্তাগুলো একটা টিফিনে করে দিয়ে দাও"
তুঁই যেহনোভাবে আজিয়ের মধ্যেই হাগজুত সই গরি লও,তুমি যেকোনোভাবে আজকের মধ্যেই কাগজে সই করে নাও
আঁরা নতুন ব্রিজ দি ন যাই টানেল দি যাইয়্যুম,আমরা নতুন ব্রিজ দিয়ে না গিয়ে টানেল দিয়ে যাব
"আফিসুর নতুন কলিগ ইবে বৌত মিশুক, বিয়াজ্ঞুনুর লগে বৌত তারাতারি মিশি যার","অফিসের নতুন কলিগটা অনেক মিশুক, সবার সঙ্গে খুব তাড়াতাড়ি মিশে যাচ্ছে"
"ম্যাম, আঁর মা অসুস্থ, এতেল্লে গত হালিয়ে আইত ন পারি","ম্যাম, আমার মা অসুস্থ, তাই গতকাল আসতে পারিনি"
