Bangla,Chatgaya
তুমি কি আমার কথা শুনছো?,তুঁই কি আঁর হথা উইন্তে লাইজ্ঞু?
গ্রামের মেয়েরা হাঁস মুরগি পালন করে,গ্রামোর মেইফুওয়া অক্কলে আঁস কুরো ফালে
গ্রামের মেয়েরা হাঁস মুরগি পালন করে,গ্রামোর মেইফুওয়া অক্কলে আঁস কুরা ফালে
"আমি প্রতিদিন চেষ্টা করি রাতে জলদি ঘুমানোর, কিন্তু কেমনে জানি দেরি হয়ে যায়","আঁই ফইত্তোদিন চেষ্টা গরি রাতিয়ে জলদি ঘুম যাইবের লাই, কিন্তু কেনে জানি দেরি অই যায়"
"আমি প্রতিদিন চেষ্টা করি রাতে জলদি ঘুমানোর, কিন্তু কেমনে জানি দেরি হয়ে যায়","আঁই ফইত্তোদিন চেষ্টা গরি রাতিয়ে জলদি ঘুম যাইবের লাই, কিন্তু কেনে হইত পারি দেরি অই যায়"
"আমি প্রতিদিন চেষ্টা করি রাতে জলদি ঘুমানোর, কিন্তু কেমনে জানি দেরি হয়ে যায়","আঁই ফইত্তোদিন চেষ্টা গরি রাতিয়ে তারাতারি ঘুম যাইবের লাই, কিন্তু কেনে জানি দেরি অই যায়"
"আমি প্রতিদিন চেষ্টা করি রাতে জলদি ঘুমানোর, কিন্তু কেমনে জানি দেরি হয়ে যায়","আঁই ফইত্তোদিন চেষ্টা গরি রাতিয়ে হারা ঘুম যাইবের লাই, কিন্তু কেনে জানি দেরি অই যায়"
আমাকে একটু মাংসের ঝোল দাও,আঁরে এক্কানা গুস্তর সুরগো দও
আমাকে একটু মাংসের ঝোল দাও,আঁরে ইক্কিনি গুস্তর সুরগো দও
আমি একবার বেহুঁশ হয়ে গিয়েছিলাম,আঁই একবার বেউশ অই গেইলাম
হ্যালো মুঈন,হ্যালো মুঈন
আজকে ভাইয়া তার শ্বশুর বাড়ি গিয়ে ভাবিকে নিয়ে আসবে,আজিয়ে ভাইয়ে ইবের অরো বারিত যায় ভাবিরে লই আইবু
আজকে ভাইয়া তার শ্বশুর বাড়ি গিয়ে ভাবিকে নিয়ে আসবে,আজিইয়্যে ভাইয়ে ইবের অরো বারিত যায় ভাবিরে লই আইবু
"আপা, থ্রি-পিসগুলো একদম অরিজিনাল, রং উঠবে না","আফা, থ্রি-পিস এগুন একদম অরিজিনাল, রঙ ন উডিবু"
"তুমি আমাকে আগে এক হাজার টাকা হাদিয়া দাও, আমি তোমার কাজ করে দিব","তুঁই আঁরে আগে এহাজার টিয়া হাদিয়ে দ, আঁই তোঁয়ার হাম গরি দিয়্যুম"
"তুমি আমাকে আগে এক হাজার টাকা হাদিয়া দাও, আমি তোমার কাজ করে দিব","তুঁই আঁরে আগে এহাজার টিয়া হাদিয়ে দ, আঁই তোঁয়ার হাজ গরি দিয়্যুম"
তোমাকে খুব সুন্দর লাগতাছে,তোঁয়ারে বত সুন্দর লাগের
তোমাকে খুব সুন্দর লাগতাছে,তোঁয়ারে বত সুন্দর লার
"কিরে বাটপার, তোর বাটপারি কেমন চলে?","কিরে বাটপার, তোর বাটপারি কেন চলের?"
"দেখে যাও, কত জিনিস!","চাই য, হদিজ্ঞিন জিনিস!"
আমি কি বধির? আমি সব শুনি,আঁই ই বোরা না? আঁই বিয়াক উনি
"আমার দোকানটা বিক্রি করে দেব, কোনো ভালো কাস্টমার পেলে জানাবেন","আঁর দোয়ান ইয়েন বেছি দিয়্যুম, হনো ভালা কাস্টমার পাইলি জানাইয়্যুন"
"আমার দোকানটা বিক্রি করে দেব, কোনো ভালো কাস্টমার পেলে জানাবেন","আঁর দোয়ান ইয়েন বেছি দিয়্যুম, হনো গম কাস্টমার পাইলি জানাইয়্যুন"
"আজকে আমার পা ব্যথা করছে, রান্না না হয় তুমি কর","আজিয়ে আঁর টেং ব্যথা গরের, রান্না নয়তো তুঁই গরো"
"আজকে আমার পা ব্যথা করছে, রান্না না হয় তুমি কর","আজিইয়্যে আঁর টেং ব্যথা গরের, রান্না নয়তো তুঁই গরো"
"আজকে আমার পা ব্যথা করছে, রান্না না হয় তুমি কর","আজিয়ে আঁর টেং ব্যথা গরের, রান্না নইলি তুঁই গরো"
আমি প্রতিদিন সকালে তাড়াতাড়ি উঠে যায়,আঁই ফইত্তোদিন ফজোরত তারাতারি উডি যায়
আমি প্রতিদিন সকালে তাড়াতাড়ি উঠে যায়,আঁই ফইত্তোদিন বেইন্নে তারাতারি উডি যায়
আমি প্রতিদিন সকালে তাড়াতাড়ি উঠে যায়,আঁই ফইত্তোদিন ফজোরত হারা উডি যায়
আমি প্রতিদিন সকালে তাড়াতাড়ি উঠে যায়,আঁই ফইত্তোদিন ফজোরত জলদি উডি যায়
"তুই কি সারাজীবন এরকম ছোট থেকে যাবি, নাকি একটু বড় হবি?","তুই কি আরা জীবন এরহম ছোডো থাহি যাইবি, নাকি এক্কানা বরো অইবি?"
"তুই কি সারাজীবন এরকম ছোট থেকে যাবি, নাকি একটু বড় হবি?","তুই কি আরা জীবন এরহম ছোডো থাহি যাইবি, নাকি ইক্কিনি বরো অইবি?"
"হানিফ বাসে যাব না, এই বাসগুলো অনেক জোরে চালায় আর বেশি এক্সিডেন্ট করে","হানিফ বাসুত ন যাইয়্যুম, এই বাস এগিন বত জোরে চলায় আর বেশি এক্সিডেন্ট গরে"
পাহাড় থেকে প্রতিদিন রাতে শিয়াল আসে,ফা'রুত্তুন ফইত্তোদিন রাতিয়ে ইয়েল আইয়্যি
"তোমার এখন থেকে কোনো কাজ করার দরকার নেই, আমি কাজের বুয়া রাখছি","তোঁয়ার এহনুত্তুন হনো হাজ গরিবের দরহার নেই, আঁই হাজুর বুয়া রাইক্কি"
"তোমার এখন থেকে কোনো কাজ করার দরকার নেই, আমি কাজের বুয়া রাখছি","তোঁয়ার এহনুত্তুন হনো হাম গরিবের দরহার নেই, আঁই হাজুর বুয়া রাইক্কি"
"আমাদের গ্রামে অনেকগুলো পুকুর আছে, পুকুরগুলোতে অনেক মাছ আছে","আঁরার গ্রামুত বত হদুজ্ঞুন ফইর আছে, ফইর এগুনুত বত মাছে আছে"
"ভাই, দোকান থেকে এক প্যাকেট বিস্কুট আর একটা কোল্ড ড্রিংক নিয়ে আয়","বদ্দা, দোয়ানুত্তুন এক প্যাকেট বিস্কুট আর উজ্ঞো কোল্ড ড্রিংক লই আয়"
"তরকারিতে লবণ আরেকটু কম দেবে, তাহলে তরকারি অনেক মজা হবে","তরহারিত নুন আরেক্কানা হম দিবে, তইলি তরহারি বত মজা অইবু"
"আজকে অফিসে কাজের চাপ কম, তাই জলদি চলে আসছি","আজিয়ে অফিসুত হাজুর চাপ হম, এতাল্লে হারা চলি আইস্যি"
"আজকে অফিসে কাজের চাপ কম, তাই জলদি চলে আসছি","আজিইয়্যে অফিসুত হাজুর চাপ হম, এতাল্লে হারা চলি আইস্যি"
"আজকে অফিসে কাজের চাপ কম, তাই জলদি চলে আসছি","আজিয়ে অফিসুত হাজুর চাপ হম, এতাল্লে তারাতারি চলি আইস্যি"
"আজকে অফিসে কাজের চাপ কম, তাই জলদি চলে আসছি","আজিয়ে অফিসুত হাজুর চাপ হম, এতাল্লে জলদি চলি আইস্যি"
প্রতিদিন এতো দেরি করে ঘুম থেকে উঠলে তো কিছু জানতে পারবে না,ফইত্তোদিন এল্লেত দেরি গরি ঘুমোত্তুন উডিলি তো কিছু জানিত ন ফারিবে
প্রতিদিন এতো দেরি করে ঘুম থেকে উঠলে তো কিছু জানতে পারবে না,ফইত্তোদিন এতো দেরি গরি ঘুমোত্তুন উডিলি তো কিছু জানিত ন ফারিবে
ঘুম থেকে ওঠার পর থেকেই মনটা কেমন জানি হয়ে গেছে,ঘুমুত্তুন উডিবের পরুত্তুনই মন ইয়েন কেন জানি অই গেইয়্যি
ঘুম থেকে ওঠার পর থেকেই মনটা কেমন জানি হয়ে গেছে,ঘুমুত্তুন উডিবের পরুত্তুনই মন ইয়েন কেন হইত পারি অই গেইয়্যি
একটা দিতে গিয়ে ভুলে আরেকটা চলে গেছে,এক্কান দিতাম যায় রে ভুলে আরেক্কান চলি গেইয়্যি
"আমি বিকেলে নাস্তা খেয়েছিলাম, তাই রাতে ভাত দেরি করে খাব","আঁই বিয়েলে নাস্তা হাইলাম, এতেল্লে রাতিয়ে ভাত দেরি গরি হাইয়্যুম"
ডাব চুরি করতে গিয়ে একবার বাবার হাতে মার খেয়েছিলাম,ডাফ চুরি গইত্তো যায় একবার বাফুর আতুত মাইর হাইলাম
বর্ষাকাল আসার আগেই ঘরের কাজ শেষ করতে হবে,বর্ষাহাল আইবের আগেই ঘরুর হাজ শেষ গরন ফরিবু
বর্ষাকাল আসার আগেই ঘরের কাজ শেষ করতে হবে,বর্ষাহাল আইবের আগেই ঘরুর হাম শেষ গরন ফরিবু
"ভাইয়া, আমাকে এক কেজি পোলাওয়ের চাল আর এক লিটার খাঁটি সরিষার তেল দেন","ভাইয়া, আঁরে এক কেজি পোলও উর চইল আর এক লিটার হাঁটি সরিষার তেল দন"
একটু বৃষ্টি পড়লেই চট্টগ্রাম ডুবে যায়,এক্কানা ঝর ফরিলিই চট্টগ্রাম ডুফি যায়
একটু বৃষ্টি পড়লেই চট্টগ্রাম ডুবে যায়,ইক্কিনি ঝর ফরিলিই চট্টগ্রাম ডুফি যায়
আরে বন্ধু! কতোদিন পর তুর সাথে দেখা!,আরে বন্ধু! হতোদিন পর তুর লগে দেহা!
আরে বন্ধু! কতোদিন পর তুর সাথে দেখা!,আরে বন্ধু! হতোদিন পর তুর ওয়ারে দেহা!
আরে বন্ধু! কতোদিন পর তুর সাথে দেখা!,আরে বন্ধু! হতোদিন পর তুর ফুয়ারে দেহা!
আমরা সব স্কুল ফ্রেন্ড মিলে পিকনিকে যাচ্ছি,আঁরা বিয়াজ্ঞুন স্কুল ফ্রেন্ড মিলি পিকনিকুত যাইর
"শুনে খুবই খুশি হলাম যে আপনার শারিরীক অবস্থার ব্যাপক উন্নতি হয়েছে, আরও দ্রুত সুস্থ হোন","উনিয়েরে বত খুশি অইলাম যে অঁনোর শারিরীক অবস্থার বত উন্নতি অইয়্যি, আরও তারাতারি সুস্থ অই যন"
"শুনে খুবই খুশি হলাম যে আপনার শারিরীক অবস্থার ব্যাপক উন্নতি হয়েছে, আরও দ্রুত সুস্থ হোন","উনিয়েরে বত খুশি অইলাম যে অঁনোর শারিরীক অবস্থার বত উন্নতি অইয়্যি, আরও হারা সুস্থ অই যন"
"শুনে খুবই খুশি হলাম যে আপনার শারিরীক অবস্থার ব্যাপক উন্নতি হয়েছে, আরও দ্রুত সুস্থ হোন","উনিয়েরে বত খুশি অইলাম যে অঁনোর শারিরীক অবস্থার বত উন্নতি অইয়্যি, আরও জলদি সুস্থ অই যন"
আচ্ছা মা একটা কথা বলি?,আইচ্ছে মা এক্কান হতা হই?
আচ্ছা মা একটা কথা বলি?,আইচ্ছে মা এক্কান হথা হই?
বলটি সরাসরি আমার কাছে দে,বল ইবে সরাসরি আঁর হাছে দে
"আমার বাসে ভালো লাগে না, ট্রেনে যাব চিন্তা করছি","আত্তুন বাসুত ভালা ন লাগে, ট্রেনুত যাইয়্যুম চিন্তে গরির"
"আমার বাসে ভালো লাগে না, ট্রেনে যাব চিন্তা করছি","আত্তুন বাসুত গম ন লাগে, ট্রেনুত যাইয়্যুম চিন্তে গরির"
"বাবা আমার কিছু টাকা লাগবে, বন্ধুদের সাথে বান্দরবান ঘুরতে যাব","আব্বু আত্তুন কিছু টিয়া লাগিবো, বন্ধু অক্কলোর লগে বান্দরবন ঘুইত্তাম যাইয়্যুম"
"বাবা আমার কিছু টাকা লাগবে, বন্ধুদের সাথে বান্দরবান ঘুরতে যাব","আব্বু আত্তুন কিছু টিয়া লাগিবো, বন্ধু অক্কলোর ওয়ারে বান্দরবন ঘুইত্তাম যাইয়্যুম"
"বাবা আমার কিছু টাকা লাগবে, বন্ধুদের সাথে বান্দরবান ঘুরতে যাব","আব্বু আত্তুন কিছু টিয়া লাগিবো, বন্ধু অক্কলোর ফুয়ারে বান্দরবন ঘুইত্তাম যাইয়্যুম"
"আমার কিছু কাজ বাকি আছে, সেগুলো শেষ করে তারপর বের হচ্ছি","আঁর কিছু হাজ বাকি আছে, এগিন শেষ গরি তারপর বাইর অইর"
"আমার কিছু কাজ বাকি আছে, সেগুলো শেষ করে তারপর বের হচ্ছি","আঁর কিছু হাম বাকি আছে, এগিন শেষ গরি তারপর বাইর অইর"
এই ট্রেনে কি খাবারের ব্যবস্থা আছে? নাকি কিনে নিয়ে যেতে হবে?,এই ট্রেনুত কি হানার ব্যবস্থা আছে? নাকি কিনি লই যন ফরিবু?
তুমি যদি এক মাস কষ্ট করো তাহলে অনেক কিছু ঠিক হয়ে যাবে,তুঁই যদি এক মাস হষ্ট গরো তইলি বত কিছু ঠিক অই যাইবু
"আমার ল্যাপটপ এখন বন্ধ হয়ে যাবে, অনেকক্ষণ ধরে কারেন্ট নেই","আঁর লেপটপ এহন বন্ধ অই যাইবু, বত হতক্ষন ধরি কারোন নাই"
"এখন একটু শান্ত হও, আর কত কাঁদবে?","এহন এক্কানা শান্ত অও, আর হত হাঁদিবে?"
"এখন একটু শান্ত হও, আর কত কাঁদবে?","এহন ইক্কিনি শান্ত অও, আর হত হাঁদিবে?"
তুমি একটু পরে আসো,তুঁই এক্কানা পরে আইয়্যু
তুমি একটু পরে আসো,তুঁই ইক্কিনি পরে আইয়্যু
"যা হওয়ার হয়ে গেছে, এগুলো পুরাতন কথা, এগুলো এখন বলে লাভ আছে?","যা অইবের অই গেইয়্যি, এগিন পুরন হতা, এগিন এহন হয় রে লাভ আছে না?"
সকালে নামাজ পড়ে হাটলে অনেক ভাল লাগে,ফজোরত নামাজ পরি আডিলি বত ভালা লাগে
সকালে নামাজ পড়ে হাটলে অনেক ভাল লাগে,ফজোরত নামাজ পরি আডিলি বত গম লাগে
সকালে নামাজ পড়ে হাটলে অনেক ভাল লাগে,বেইন্নে নামাজ পরি আডিলি বত ভালা লাগে
আজকে তোমাকে এত খুশি দেখাচ্ছে কেন?,আজিয়ে তোঁয়ারে এল্লেত খুশি দেহার কা?
আজকে তোমাকে এত খুশি দেখাচ্ছে কেন?,আজিইয়্যে তোঁয়ারে এল্লেত খুশি দেহার কা?
আজকে তোমাকে এত খুশি দেখাচ্ছে কেন?,আজিয়ে তোঁয়ারে এতো খুশি দেহার কা?
"প্রথমে পেঁয়াজ ভালো করে ভেজে নিতে হবে, তারপর মসলা দিতে হবে","ফইল্লে পিয়েজ ভালা গরি ভাজি লন ফরিবু, তারপর মসল্লা দন ফরিবু"
"প্রথমে পেঁয়াজ ভালো করে ভেজে নিতে হবে, তারপর মসলা দিতে হবে","ফইল্লে পিয়েজ গম গরি ভাজি লন ফরিবু, তারপর মসল্লা দন ফরিবু"
আবার পরে দেখা হবে,আবার পরে দেহা অইব্যু
"আজ অফিসে একটা ভুল হয়ে গেছে, বসকে কীভাবে বলব বুঝছি না","আজিয়ে অফিসুত এক্কান ভুল অই গেইয়্যি, বস উরে কেন গরি হইয়্যুম ন বুঝির"
মাঝে মাঝে আল্লাহ আমাদের কাছ থেকে বিপদের মাধ্যমে পরীক্ষা নেন,মাঝে মাঝে আল্লাহ আরাত্তুন বিপদুর মাইধ্যমে পরীক্ষে লই
খুব মনে পড়ছে কিন্তু কাকে মনে পড়ছে সেটাই মনে পড়ছে না,বত মনোত পরের কিন্তু হারে মনোত পরের ইয়েন ই মনোত ন পরের
তোমার কি সমাস্যা? মানতে কেন পারছো না?,তোঁয়ার কি সমাস্যা? মানিত কিল্লে ন পারো?
"পায়খানাগুলো তাড়াতাড়ি পরিষ্কার করে ফেল, আমার বমি আসছে","ফেহেনা এগিন তারাতারি সাফ গরি ফেলা, আত্তুন বুমি আইয়্যির"
"পায়খানাগুলো তাড়াতাড়ি পরিষ্কার করে ফেল, আমার বমি আসছে","ফেহেনা এগিন তারাতারি পরিষ্কার গরি ফেলা, আত্তুন বুমি আইয়্যির"
তোমাকে মনে হয় কাইসার কিছু বলেছিল,তোঁয়ারে মনে অয় কাইসার কিছু হইয়্যিল
তুই আসলে ভাই আমি অনেক খুশি হব,তুই আইলি বদ্দা আই বত খুশি অইয়্যুম
"আমি এখন ব্যস্ত, আমার দেরি হবে","আঁই এহন বিজি, আত্তুন দেরি অইবু"
আপুকে দিয়ে এসে আমি ঘরে চলে আসছি,আফারে দি আইয়্যিরে আঁই ঘরুত চলি আইসসি
তোমার পরীক্ষা ভালো হয়েছে দেখে আমার মন এমনিতেই ভালো হয়ে গেছে,তোঁয়ার পরীক্ষে ভালা অইয়্যি দেহি আঁর মন এনেই ভালা অই গেইয়্যি
তোমার পরীক্ষা ভালো হয়েছে দেখে আমার মন এমনিতেই ভালো হয়ে গেছে,তোঁয়ার পরীক্ষে গম অইয়্যি দেহি আঁর মন এনেই ভালা অই গেইয়্যি
"ওরা এই রাস্তা দিয়ে গেছে, কিছুক্ষণ হাঁটলে সামনে দেখতে পাবেন","ইতারা রাস্তা ইবে দি গেইয়্যি, হতক্ষন আডিলি সাম্মোদ্দি দেহিবেন"
"বউ, রান্নায় ঝাল একটু কম দিও, গতকাল আমার পেট জ্বালা করেছিল","বউ, রান্নাত ঝাল এক্কানা হম দিও, গত হালিয়ে আঁর পেট জইল্লিল"
"বউ, রান্নায় ঝাল একটু কম দিও, গতকাল আমার পেট জ্বালা করেছিল","বউ, রান্নাত ঝাল ইক্কিনি হম দিও, গত হালিয়ে আঁর পেট জইল্লিল"
"আর দুদিন পর আসেন, দুদিন পর অনেক ভাল ভাল কাপড় আসবে","আর দুদিন পর আইয়্যুন, দুদিন পর বত ভালা ভালা হর আইবু"
"আর দুদিন পর আসেন, দুদিন পর অনেক ভাল ভাল কাপড় আসবে","আর দুদিন পর আইয়্যুন, দুদিন পর বত গম ভালা হর আইবু"
তুমি আমার সাথে এরকম কেমনে করলা! আমার কি দোষ ছিল?,তুঁই আঁর লগে এরহম কেনে গরিলে! আঁর কি দোষ আছিল?
তুমি আমার সাথে এরকম কেমনে করলা! আমার কি দোষ ছিল?,তুঁই আঁর ওয়ারে এরহম কেনে গরিলে! আঁর কি দোষ আছিল?
তুমি আমার সাথে এরকম কেমনে করলা! আমার কি দোষ ছিল?,তুঁই আঁর ফুয়ারে এরহম কেনে গরিলে! আঁর কি দোষ আছিল?
"এভাবে রাগ করে থাকলে হবে? খাবার ঠান্ডা হয়ে যাচ্ছে, খেয়ে নাও","এন গরি গুসসা অই থাহিলি অইবুনা? হানা ঠান্ডা অই যার, হায় লও"
সাদা পাঞ্জাবিটা আমার অনেক প্রিয়,সাদা পাঞ্জাবি ইবে আঁর বত প্রিয়
"তাড়াতাড়ি ঘরে চলে এসো, বৃষ্টিতে ভিজলে অসুখ হয়ে যাবে","তারাতারি ঘরুত চলি আইয়্যু, বৃষ্টিত ভিজিলি অসুখ অই যাইবু"
সাইকেল চালাতে গিয়ে একবার অনেক ব্যথা পেয়েছিলাম,সাইকেল চালাইতাম যায় একবার বত ব্যথা পাইলাম
"আপনাকে ৫০ টাকা দিয়েছিলাম, ১০ টাকা ফেরত দিতে ভুলে গেছেন","অঁনোরে ৫০ টিয়া দিলাম, ১০ টিয়া ফেরত দিতু ভুলি গেইয়্যুন"
এটা অবশ্য ঠিক বলছ,ইয়েন অবশ্য ঠিক হইয়্যু
ল্যাপটপের সঙ্গে ফ্রি আর কী কী দিয়েছে?,ল্যাপটপুর লগে ফ্রি আর কী কী দিইয়্যি?
"আমি যদি চাকরি না করি, তাহলে আমার পরিবার কষ্ট পাবে","আঁই যদি চঅরি ন গরি, তইলি আঁর পরিবার হষ্ট ফাইবু"
"আমরা বাসে যাই, ট্রেনের ছাদে ওঠা ঝুঁকিপূর্ণ হয়ে যাবে","আঁরা বাসুত যাই, ট্রেনুর ছাদুত উডন রিস্ক অই যাইবু"
"সাবধানে যাস, বাসায় পৌঁছে কল দিস","সাবধানে যাইস, বাসাত পৌছি কল দিস"
"একটা নাপা ট্যাবলেট খেয়ে ফেলো, নাহয় রাতে জ্বর চলে আসবে","উজ্ঞো নাপা ট্যাবলেট হায় ফেলো, নইলি রাতিয়ে জ্বর চলি আইবু"
"এই শোনেন, আপনি একটু বোঝার চেষ্টা করেন","এই উনন না, অঁনে এক্কানা বুঝিবের চেষ্টা গরন"
"এই শোনেন, আপনি একটু বোঝার চেষ্টা করেন","এই উনন না, অঁনে ইক্কিনি বুঝিবের চেষ্টা গরন"
মন ভালো থাকলে নাকি আশেপাশের সবকিছু সুন্দর লাগে,মন ভালা থাহিলি বলে আশেপাশের বিয়াক কিছু সুন্দর লাগে
মন ভালো থাকলে নাকি আশেপাশের সবকিছু সুন্দর লাগে,মন গম থাহিলি বলে আশেপাশের বিয়াক কিছু সুন্দর লাগে
"সামনেই পেট্রোল পাম্প আছে, ওখান থেকেই পেট্রোল নেওয়া যাবে","সামনেই পেট্রোল পাম্প আছে, এত্তুন পেট্রোল লন যাইবু"
এক কেজি গাজরের দাম কত?,এক কেজি গাজরুর দাম হত?
"অফিসে নতুন সফটওয়্যার এসেছে, ওটা ব্যবহার করতে সমস্যা হচ্ছে","অফিসুত নতুন সফটওয়্যার আইসসি, ইবে বেবার গত্তে সমস্যা অর"
"আপনি একটু বাইরে যান, আমি কাপড় পাল্টে নিই","অঁনে এক্কানা বাইরে যন, আঁই হর পাল্ডায় লই"
"আপনি একটু বাইরে যান, আমি কাপড় পাল্টে নিই","অঁনে ইক্কিনি বাইরে যন, আঁই হর পাল্ডায় লই"
"আপনি একটু বাইরে যান, আমি কাপড় পাল্টে নিই","অঁনে এক্কানা বাদ্দি যন, আঁই হর পাল্ডায় লই"
"আমাকে স্যার নিষেধ করেছিলেন, তাই এটা আমি করতে পারব না","আঁরে স্যার মানা গইজ্জিল, এতেল্লে ইয়েন আঁই গরিত ন ফাইজ্জুম"
রমজান মিয়ার কাছে কিছু টাকা পায়,রমজান মিয়ত্তুন কিছু টিয়া ফাইর
গতবার কাপড় কিনার সময় বলেছিলেন এবার দাম কম রাখবেন,গতবার হর কিনিবের সমত হইলেন এবার দাম হম রাহিবেন
অনেক আশা নিয়ে গেছিলাম কিন্তু কাজটা হলো না,বত আশা লই রে গেইলাম কিন্তু হাজগান ন অয়
"আজকে অফিসে অনেক কাজ, তাই আমার আসতে দেরি হবে","আজিয়ে অফিসুত বত হাম, এতেল্লে আত্তুন আসতে দেরি অইবু"
"আজকে অফিসে অনেক কাজ, তাই আমার আসতে দেরি হবে","আজিইয়্যে অফিসুত বত হাম, এতেল্লে আত্তুন আসতে দেরি অইবু"
আমার সঙ্গে ঝগড়া করলে কি মন ভালো হয়ে যাবে?,আঁর লগে হইজ্জে গরিলি কি মন ভালা অই যাইবু?
আমার সঙ্গে ঝগড়া করলে কি মন ভালো হয়ে যাবে?,আঁর লগে হইজ্জে গরিলি কি মন গম অই যাইবু?
ক্ষেত থেকে পাকা মরিচ গুলো নিয়ে আয়,ক্ষেতিত্তুন ফোওয়ানা মরিচ এগুন লই আয়
আমাদের বাস ড্রাইভার অনেক স্পিডে বাস চালাচ্ছিল,আঁরার বাস ড্রাইভার বত স্পিডে বাস চালার
"অনেকক্ষণ কথা হলো, এবার উঠি","বত হতক্ষন হতা অইয়্যি, এবার উডি"
"অনেকক্ষণ কথা হলো, এবার উঠি","বত হতক্ষন হথা অইয়্যি, এবার উডি"
তুই আমার চাকর হয়ে আমার মুখের ওপর কথা বলিস!,তুই আঁর চঅর অইয়্যিরে আঁর মুখুর উদ্দি হতা হস!
তুই আমার চাকর হয়ে আমার মুখের ওপর কথা বলিস!,তুই আঁর চঅর অইয়্যিরে আঁর মুখুর উদ্দি হথা হস!
কে পাদ দিয়েছে? এত গন্ধ কেন?,হনে পাইদ্দি দে? এল্লেত গন্ধ কা?
কে পাদ দিয়েছে? এত গন্ধ কেন?,হনে পাইদ্দি দে? এতো গন্ধ কা?
আমরা সন্ধ্যায় চা আর নাস্তা খাব,আঁরা আজুইন্নে চা আর নাস্তা হইয়্যুম
আজকে অফিসে বসের বকা খেয়ে মেজাজ একদম খারাপ হয়ে গেছে,আজিয়ে অফিসুত বস উর বকা হায় মেজাজ এব্বেরে হারাপ অই গেইয়্যি
আজকে অফিসে বসের বকা খেয়ে মেজাজ একদম খারাপ হয়ে গেছে,আজিইয়্যে অফিসুত বস উর বকা হায় মেজাজ এব্বেরে হারাপ অই গেইয়্যি
"আমার জন্য কিছু করতে হবে না, আমি বাসা থেকে খেয়ে এসেছি","আঁর লাই কিছু গরন ফইত্তো নো, আঁই বাসাত্তুন হায় আইসসি"
আপনাকে আজকে আমার খুব ভালো লাগলো,অঁনোরে আজিয়ে আত্তুন বত ভালা লাইজ্ঞি
আপনাকে আজকে আমার খুব ভালো লাগলো,অঁনোরে আজিয়ে আত্তুন বত গম লাইজ্ঞি
আপনাকে আজকে আমার খুব ভালো লাগলো,অঁনোরে আজিইয়্যে আত্তুন বত ভালা লাইজ্ঞি
"আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব","আত্তুন এক্কানা অরান লার, তোঁয়ার লগে পরে হতা হইয়্যুম"
"আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব","আত্তুন ইক্কিনি অরান লার, তোঁয়ার লগে পরে হতা হইয়্যুম"
"আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব","আত্তুন এক্কানা অরান লার, তোঁয়ার ওয়ারে পরে হতা হইয়্যুম"
"আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব","আত্তুন এক্কানা অরান লার, তোঁয়ার ফুয়ারে পরে হতা হইয়্যুম"
"আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব","আত্তুন এক্কানা হয়রান লার, তোঁয়ার লগে পরে হতা হইয়্যুম"
"আমার একটু ক্লান্ত লাগতাছে, তোমার সাথে পরে কথা বলব","আত্তুন এক্কানা অরান লার, তোঁয়ার লগে পরে হথা হইয়্যুম"
"আমি খেয়াল করলাম, তুমি কয়েকদিন ধরে মনমরা হয়ে বসে আছো","আঁই খিয়াল গইজ্জি, তুঁই হয়েকদিন ধরি মনমরা অই বই থেইক্কো"
"ভাই, এই ঠিকানাটা কোথায় একটু বলতে পারবেন?","বদ্দা, এই ঠিকানা ইয়েন হনডে এক্কানা হইত ফারিবেন?"
"ভাই, এই ঠিকানাটা কোথায় একটু বলতে পারবেন?","বদ্দা, এই ঠিকানা ইয়েন হনডে ইক্কিনি হইত ফারিবেন?"
"আমার হাত ব্যথা করছে, আজকে আর পারছি না","আঁর আত ব্যথা গরের, আজিয়ে আর ন পারির"
"আমার হাত ব্যথা করছে, আজকে আর পারছি না","আঁর আত ব্যথা গরের, আজিইয়্যে আর ন পারির"
আমার কাছে টাকা পয়সার থেকে মান সম্মান বেশি গুরুত্বপূর্ণ,আঁর হাছে টিয়া ফুইশেত্তুন মান সম্মান বেশি গুরুত্বপুর্ণ
এত মিথ্যা কথা কেমনে বলিস ভাই!,এতো মিছে হতা কেনে হস বদ্দা!
এত মিথ্যা কথা কেমনে বলিস ভাই!,এল্লেত মিছে হতা কেনে হস বদ্দা!
এত মিথ্যা কথা কেমনে বলিস ভাই!,এতো মিছে হথা কেনে হস বদ্দা!
"শরীরটা মেছমেছ করছে, কিছুক্ষণ ঘুমাতে হবে","শরীল ইয়েন মেছমেছ গরের, এক্কানা ঘুম যন ফরিবু"
"শরীরটা মেছমেছ করছে, কিছুক্ষণ ঘুমাতে হবে","শরীর ইয়েন মেছমেছ গরের, এক্কানা ঘুম যন ফরিবু"
আসসালামু আলাইকুম ম্যাম,আসসালামু আলাইকুম ম্যাম
